Grid Size,Threads,Mode,Schedule,Run,Execution Time (s)
1000x1000,2,row,runtime,Average,0.010716
1000x1000,2,column,static,1,0.017030
1000x1000,2,column,static,2,0.016805
1000x1000,2,column,static,3,0.016992
1000x1000,2,column,static,4,0.017501
1000x1000,2,column,static,5,0.016830
1000x1000,2,column,static,Average,0.017032
1000x1000,2,column,dynamic,1,0.016926
1000x1000,2,column,dynamic,2,0.017576
1000x1000,2,column,dynamic,3,0.016949
1000x1000,2,column,dynamic,4,0.017694
1000x1000,2,column,dynamic,5,0.017209
1000x1000,2,column,dynamic,Average,0.017271
1000x1000,2,column,guided,1,0.017142
1000x1000,2,column,guided,2,0.017033
1000x1000,2,column,guided,3,0.016963
1000x1000,2,column,guided,4,0.016614
1000x1000,2,column,guided,5,0.016897
1000x1000,2,column,guided,Average,0.016930
1000x1000,2,column,runtime,1,0.017338
1000x1000,2,column,runtime,2,0.018642
1000x1000,2,column,runtime,3,0.018401
1000x1000,2,column,runtime,4,0.018325
1000x1000,2,column,runtime,5,0.017870
1000x1000,2,column,runtime,Average,0.018115
1000x1000,2,column,static,1,0.011305
1000x1000,2,column,static,2,0.010979
1000x1000,2,column,static,3,0.010476
1000x1000,2,column,static,4,0.010543
1000x1000,2,column,static,5,0.010945
1000x1000,2,column,static,Average,0.010850
1000x1000,2,column,dynamic,1,0.010554
1000x1000,2,column,dynamic,2,0.010558
1000x1000,2,column,dynamic,3,0.010703
1000x1000,2,column,dynamic,4,0.010960
1000x1000,2,column,dynamic,5,0.010612
1000x1000,2,column,dynamic,Average,0.010677
1000x1000,2,column,guided,1,0.011114
1000x1000,2,column,guided,2,0.010756
1000x1000,2,column,guided,3,0.010545
1000x1000,2,column,guided,4,0.011031
1000x1000,2,column,guided,5,0.011014
1000x1000,2,column,guided,Average,0.010892
1000x1000,2,column,runtime,1,0.010830
1000x1000,2,column,runtime,2,0.010980
1000x1000,2,column,runtime,3,0.010656
1000x1000,2,column,runtime,4,0.010645
1000x1000,2,column,runtime,5,0.010441
1000x1000,2,column,runtime,Average,0.010710
5000x5000,2,row,static,1,0.228219
5000x5000,2,row,static,2,0.225716
5000x5000,2,row,static,3,0.226578
5000x5000,2,row,static,4,0.224777
5000x5000,2,row,static,5,0.225343
5000x5000,2,row,static,Average,0.226127
5000x5000,2,row,dynamic,1,0.226123
5000x5000,2,row,dynamic,2,0.224385
5000x5000,2,row,dynamic,3,0.224875
5000x5000,2,row,dynamic,4,0.225755
5000x5000,2,row,dynamic,5,0.225871
5000x5000,2,row,dynamic,Average,0.225402
5000x5000,2,row,guided,1,0.224876
5000x5000,2,row,guided,2,0.225435
5000x5000,2,row,guided,3,0.226209
5000x5000,2,row,guided,4,0.223884
5000x5000,2,row,guided,5,0.225519
5000x5000,2,row,guided,Average,0.225185
5000x5000,2,row,runtime,1,0.224179
5000x5000,2,row,runtime,2,0.225861
5000x5000,2,row,runtime,3,0.226251
5000x5000,2,row,runtime,4,0.226112
5000x5000,2,row,runtime,5,0.227022
5000x5000,2,row,runtime,Average,0.225885
5000x5000,2,row,static,1,0.167974
5000x5000,2,row,static,2,0.168565
5000x5000,2,row,static,3,0.169901
5000x5000,2,row,static,4,0.166879
5000x5000,2,row,static,5,0.167306
5000x5000,2,row,static,Average,0.168125
5000x5000,2,row,dynamic,1,0.168317
5000x5000,2,row,dynamic,2,0.167096
5000x5000,2,row,dynamic,3,0.168019
5000x5000,2,row,dynamic,4,0.167729
5000x5000,2,row,dynamic,5,0.167164
5000x5000,2,row,dynamic,Average,0.167665
5000x5000,2,row,guided,1,0.167293
5000x5000,2,row,guided,2,0.167024
5000x5000,2,row,guided,3,0.166979
5000x5000,2,row,guided,4,0.168337
5000x5000,2,row,guided,5,0.167193
5000x5000,2,row,guided,Average,0.167365
5000x5000,2,row,runtime,1,0.166565
5000x5000,2,row,runtime,2,0.166630
5000x5000,2,row,runtime,3,0.167469
5000x5000,2,row,runtime,4,0.166793
5000x5000,2,row,runtime,5,0.167928
5000x5000,2,row,runtime,Average,0.167077
5000x5000,2,column,static,1,0.323392
5000x5000,2,column,static,2,0.323374
5000x5000,2,column,static,3,0.324407
